AAR,Total,COUNTRY
2003.0,1662.0,Tyskland
2003.0,1542.0,USA
2003.0,1257.0,Island
2003.0,1227.0,Frankrig
2003.0,1170.0,Kina
2003.0,1166.0,Italien
2003.0,1109.0,Thailand
2003.0,1074.0,Bosnien-Hercegovina
2003.0,984.0,Makedonien
2003.0,939.0,Iran
2003.0,929.0,Polen
2003.0,925.0,Statsløs
2003.0,747.0,Filippinerne
2003.0,728.0,Spanien
2003.0,594.0,Finland
2003.0,554.0,Libanon
2004.0,4853.0,Tyrkiet
2004.0,3579.0,Storbritannien
2004.0,3368.0,Pakistan
2004.0,3027.0,Norge
2004.0,2917.0,Sverige
2004.0,2895.0,Jugoslavien
2004.0,2835.0,Somalia
2004.0,2811.0,Irak
2004.0,1740.0,Tyskland
2004.0,1737.0,Marokko
2004.0,1541.0,USA
2004.0,1388.0,Kina
2004.0,1383.0,Island
2004.0,1276.0,Frankrig
2004.0,1146.0,Thailand
2004.0,1138.0,Italien
2004.0,1034.0,Bosnien-Hercegovina
2004.0,1011.0,Makedonien
2004.0,956.0,Iran
2004.0,933.0,Statsløs
2004.0,931.0,Polen
2004.0,759.0,Filippinerne
2004.0,734.0,Spanien
2004.0,607.0,Finland
2004.0,540.0,Afghanistan
2005.0,4705.0,Tyrkiet
2005.0,3573.0,Storbritannien
2005.0,3270.0,Pakistan
2005.0,3095.0,Norge
2005.0,3053.0,Sverige
2005.0,2806.0,Irak
2005.0,2682.0,Jugoslavien
2005.0,2434.0,Somalia
2005.0,1860.0,Tyskland
2005.0,1652.0,USA
2005.0,1637.0,Kina
2005.0,1627.0,Marokko
2005.0,1470.0,Island
2005.0,1283.0,Frankrig
2005.0,1193.0,Thailand
2005.0,1177.0,Italien
2005.0,1040.0,Makedonien
2005.0,964.0,Polen
2005.0,865.0,Iran
2005.0,859.0,Statsløs
2005.0,819.0,Bosnien-Hercegovina
2005.0,747.0,Spanien
2005.0,732.0,Filippinerne
2005.0,574.0,Finland
2005.0,570.0,Indien
2006.0,4554.0,Tyrkiet
2006.0,3486.0,Storbritannien
2006.0,3188.0,Sverige
2006.0,3153.0,Norge
2006.0,3119.0,Pakistan
2006.0,2808.0,Irak
2006.0,2612.0,Jugoslavien
2006.0,2088.0,Somalia
2006.0,1944.0,Tyskland
2006.0,1711.0,Kina
2006.0,1666.0,USA
2006.0,1563.0,Island
2006.0,1563.0,Marokko
2006.0,1351.0,Frankrig
2006.0,1227.0,Thailand
2006.0,1190.0,Italien
2006.0,1156.0,Polen
2006.0,1063.0,Makedonien
2006.0,820.0,Iran
2006.0,807.0,Statsløs
2006.0,806.0,Filippinerne
2006.0,760.0,Spanien
2006.0,736.0,Bosnien-Hercegovina
2006.0,657.0,Indien
2006.0,588.0,Finland
2007.0,4354.0,Tyrkiet
2007.0,3522.0,Storbritannien
2007.0,3374.0,Sverige
2007.0,3223.0,Norge
2007.0,3068.0,Pakistan
2007.0,2806.0,Irak
2007.0,2509.0,Jugoslavien
2007.0,2157.0,Tyskland
2007.0,1949.0,Somalia
2007.0,1825.0,Kina
2007.0,1806.0,USA
2007.0,1660.0,Island
2007.0,1529.0,Marokko
2007.0,1495.0,Polen
2007.0,1447.0,Frankrig
2007.0,1308.0,Italien
2007.0,1275.0,Thailand
2007.0,1084.0,Makedonien
2007.0,866.0,Filippinerne
2007.0,845.0,Spanien
2007.0,827.0,Indien
2007.0,820.0,Iran
2007.0,782.0,Statsløs
2007.0,719.0,Bosnien-Hercegovina
2007.0,625.0,Finland
2008.0,4273.0,Tyrkiet
2008.0,3600.0,Storbritannien
2008.0,3578.0,Sverige
2008.0,3320.0,Norge
2008.0,3104.0,Pakistan
2008.0,2922.0,Irak
2008.0,2480.0,Tyskland
2008.0,2445.0,Jugoslavien
2008.0,2063.0,Polen
2008.0,2033.0,Somalia
2008.0,2028.0,USA
2008.0,1988.0,Kina
2008.0,1716.0,Island
2008.0,1611.0,Frankrig
2008.0,1534.0,Marokko
2008.0,1439.0,Italien
2008.0,1322.0,Thailand
2008.0,1229.0,Indien
2008.0,1120.0,Makedonien
2008.0,983.0,Filippinerne
2008.0,953.0,Spanien
2008.0,821.0,Iran
2008.0,796.0,Statsløs
2008.0,713.0,Bosnien-Hercegovina
2008.0,689.0,Finland
2009.0,4271.0,Tyrkiet
2009.0,3886.0,Sverige
2009.0,3757.0,Storbritannien
2009.0,3480.0,Norge
2009.0,3194.0,Pakistan
2009.0,2914.0,Irak
2009.0,2848.0,Tyskland
2009.0,2627.0,Polen
2009.0,2344.0,Jugoslavien
2009.0,2326.0,Kina
2009.0,1999.0,Somalia
2009.0,1965.0,USA
2009.0,1864.0,Island
2009.0,1782.0,Frankrig
2009.0,1592.0,Italien
2009.0,1529.0,Indien
2009.0,1509.0,Marokko
2009.0,1412.0,Thailand
2009.0,1132.0,Filippinerne
2009.0,1118.0,Makedonien
2009.0,1107.0,Spanien
2009.0,798.0,Iran
2009.0,765.0,Statsløs
2009.0,710.0,Finland
2009.0,707.0,Nederlandene
2010.0,4197.0,Tyrkiet
2010.0,3966.0,Sverige
2010.0,3860.0,Storbritannien
2010.0,3621.0,Norge
2010.0,3369.0,Pakistan
2010.0,3114.0,Tyskland
2010.0,2852.0,Irak
2010.0,2804.0,Polen
2010.0,2381.0,Kina
2010.0,2258.0,Jugoslavien
2010.0,2113.0,USA
2010.0,2000.0,Somalia
2010.0,1961.0,Island
2010.0,1895.0,Frankrig
2010.0,1742.0,Italien
2010.0,1584.0,Indien
2010.0,1503.0,Marokko
2010.0,1481.0,Thailand
2010.0,1258.0,Filippinerne
2010.0,1240.0,Spanien
2010.0,1141.0,Makedonien
