AAR,STATKODE,BYDEL,Total,Percentage,COUNTRY,DISTRICT
2000.0,5100.0,0.0,437159.0,0.881904139407,Danmark,All Districts
2000.0,5100.0,1.0,39659.0,0.907715547824,Danmark,Indre By
2000.0,5100.0,2.0,61509.0,0.922547358001,Danmark,Østerbro
2000.0,5100.0,3.0,60218.0,0.824983217569,Danmark,Nørrebro
2000.0,5100.0,4.0,42702.0,0.848743838448,Danmark,Vesterbro/Kgs. Enghave
2000.0,5100.0,5.0,41613.0,0.900538856067,Danmark,Valby
2000.0,5100.0,6.0,33716.0,0.941209312713,Danmark,Vanløse
2000.0,5100.0,7.0,34818.0,0.87797866707,Danmark,Brønshøj-Husum
2000.0,5100.0,8.0,38042.0,0.859686786739,Danmark,Bispebjerg
2000.0,5100.0,9.0,42392.0,0.891843561315,Danmark,Amager Øst
2000.0,5100.0,10.0,40583.0,0.893957750512,Danmark,Amager Vest
2000.0,5100.0,99.0,1907.0,0.60329009807,Danmark,Udenfor inddeling
2001.0,0.0,0.0,57456.0,0.115108144278,Foreign Nations,All Districts
2001.0,0.0,1.0,4142.0,0.094183455364,Foreign Nations,Indre By
2001.0,0.0,2.0,5200.0,0.0777546839721,Foreign Nations,Østerbro
2001.0,0.0,3.0,12045.0,0.163873091889,Foreign Nations,Nørrebro
2001.0,0.0,4.0,7474.0,0.147253526677,Foreign Nations,Vesterbro/Kgs. Enghave
2001.0,0.0,5.0,4463.0,0.0966247374916,Foreign Nations,Valby
2001.0,0.0,6.0,2152.0,0.0596965241754,Foreign Nations,Vanløse
2001.0,0.0,7.0,4795.0,0.120314146635,Foreign Nations,Brønshøj-Husum
2001.0,0.0,8.0,6070.0,0.135973656504,Foreign Nations,Bispebjerg
2001.0,0.0,9.0,4989.0,0.103514814507,Foreign Nations,Amager Øst
2001.0,0.0,10.0,4762.0,0.104411506753,Foreign Nations,Amager Vest
2001.0,0.0,99.0,1364.0,0.389937106918,Foreign Nations,Udenfor inddeling
2001.0,5100.0,0.0,441692.0,0.884891855722,Danmark,All Districts
2001.0,5100.0,1.0,39836.0,0.905816544636,Danmark,Indre By
2001.0,5100.0,2.0,61677.0,0.922245316028,Danmark,Østerbro
2001.0,5100.0,3.0,61457.0,0.836126908111,Danmark,Nørrebro
2001.0,5100.0,4.0,43282.0,0.852746473323,Danmark,Vesterbro/Kgs. Enghave
2001.0,5100.0,5.0,41726.0,0.903375262508,Danmark,Valby
2001.0,5100.0,6.0,33897.0,0.940303475825,Danmark,Vanløse
2001.0,5100.0,7.0,35059.0,0.879685853365,Danmark,Brønshøj-Husum
2001.0,5100.0,8.0,38571.0,0.864026343496,Danmark,Bispebjerg
2001.0,5100.0,9.0,43207.0,0.896485185493,Danmark,Amager Øst
2001.0,5100.0,10.0,40846.0,0.895588493247,Danmark,Amager Vest
2001.0,5100.0,99.0,2134.0,0.610062893082,Danmark,Udenfor inddeling
2002.0,0.0,0.0,57229.0,0.114336574558,Foreign Nations,All Districts
2002.0,0.0,1.0,4187.0,0.0948981210761,Foreign Nations,Indre By
2002.0,0.0,2.0,5347.0,0.0797821545807,Foreign Nations,Østerbro
2002.0,0.0,3.0,11892.0,0.160985515094,Foreign Nations,Nørrebro
2002.0,0.0,4.0,7405.0,0.145085130978,Foreign Nations,Vesterbro/Kgs. Enghave
2002.0,0.0,5.0,4514.0,0.0975683562088,Foreign Nations,Valby
2002.0,0.0,6.0,2189.0,0.0604212095283,Foreign Nations,Vanløse
2002.0,0.0,7.0,4936.0,0.123403085077,Foreign Nations,Brønshøj-Husum
2002.0,0.0,8.0,6155.0,0.136326385966,Foreign Nations,Bispebjerg
2002.0,0.0,9.0,4934.0,0.101906355206,Foreign Nations,Amager Øst
2002.0,0.0,10.0,4829.0,0.105702090402,Foreign Nations,Amager Vest
2002.0,0.0,99.0,841.0,0.307270734381,Foreign Nations,Udenfor inddeling
2002.0,5100.0,0.0,443302.0,0.885663425442,Danmark,All Districts
2002.0,5100.0,1.0,39934.0,0.905101878924,Danmark,Indre By
2002.0,5100.0,2.0,61673.0,0.920217845419,Danmark,Østerbro
2002.0,5100.0,3.0,61978.0,0.839014484906,Danmark,Nørrebro
2002.0,5100.0,4.0,43634.0,0.854914869022,Danmark,Vesterbro/Kgs. Enghave
2002.0,5100.0,5.0,41751.0,0.902431643791,Danmark,Valby
2002.0,5100.0,6.0,34040.0,0.939578790472,Danmark,Vanløse
2002.0,5100.0,7.0,35063.0,0.876596914923,Danmark,Brønshøj-Husum
2002.0,5100.0,8.0,38994.0,0.863673614034,Danmark,Bispebjerg
2002.0,5100.0,9.0,43483.0,0.898093644794,Danmark,Amager Øst
2002.0,5100.0,10.0,40856.0,0.894297909598,Danmark,Amager Vest
2002.0,5100.0,99.0,1896.0,0.692729265619,Danmark,Udenfor inddeling
2003.0,0.0,0.0,55917.0,0.111547323379,Foreign Nations,All Districts
2003.0,0.0,1.0,4217.0,0.0948599707569,Foreign Nations,Indre By
2003.0,0.0,2.0,5438.0,0.080503330866,Foreign Nations,Østerbro
2003.0,0.0,3.0,11178.0,0.151401869159,Foreign Nations,Nørrebro
2003.0,0.0,4.0,7150.0,0.140072485062,Foreign Nations,Vesterbro/Kgs. Enghave
2003.0,0.0,5.0,4433.0,0.0959586120311,Foreign Nations,Valby
2003.0,0.0,6.0,2162.0,0.0596858349667,Foreign Nations,Vanløse
2003.0,0.0,7.0,4817.0,0.120506341781,Foreign Nations,Brønshøj-Husum
2003.0,0.0,8.0,5983.0,0.133023545368,Foreign Nations,Bispebjerg
2003.0,0.0,9.0,4859.0,0.100235167918,Foreign Nations,Amager Øst
2003.0,0.0,10.0,4786.0,0.104903228635,Foreign Nations,Amager Vest
2003.0,0.0,99.0,894.0,0.304495912807,Foreign Nations,Udenfor inddeling
2003.0,5100.0,0.0,445368.0,0.888452676621,Danmark,All Districts
2003.0,5100.0,1.0,40238.0,0.905140029243,Danmark,Indre By
2003.0,5100.0,2.0,62112.0,0.919496669134,Danmark,Østerbro
2003.0,5100.0,3.0,62652.0,0.848598130841,Danmark,Nørrebro
2003.0,5100.0,4.0,43895.0,0.859927514938,Danmark,Vesterbro/Kgs. Enghave
2003.0,5100.0,5.0,41764.0,0.904041387969,Danmark,Valby
2003.0,5100.0,6.0,34061.0,0.940314165033,Danmark,Vanløse
